Company Common Name,Instrument,Issuer Ticker,GVKEY,Compustat_Company_Name
Luz del Sur SAA,LUSURC1.LM,LUSUR,,
Goodrich Corp,GR.N^G12,RTXGOO,5229.0,GOODRICH CORP
Goodyear Tire & Rubber Co,GT.OQ,GT,5234.0,GOODYEAR TIRE & RUBBER CO
Barrick Mining Corp,ABX.TO,ABX,2055.0,BARRICK MINING CORP
American Biltrite Inc,ABLT.PK,ABLT,1397.0,AMERICAN BILTRITE INC
QHSLab Inc,USAQ.PK,QHSLB,,
ABM Industries Inc,ABM.N,ABMX,1410.0,ABM INDUSTRIES INC
Gorman-Rupp Co,GRC.N,GRCXX,5237.0,GORMAN-RUPP CO
Graco Inc,GGG.N,GGG,5252.0,GRACO INC
Graham Corp,GHM.N,GHMX,5254.0,GRAHAM CORP
Graham Corp,GHM.N,GHMX,11300.0,GRAHAM HOLDINGS CO
WW Grainger Inc,GWW.N,GWW,5256.0,GRAINGER (W W) INC
Granite Construction Inc,GVA.N,GVA,21429.0,GRANITE CONSTRUCTION INC
US Ecology Inc,ECOL.OQ^E22,RSGUSE,1439.0,US ECOLOGY INC
American Electric Power Company Inc,AEP.OQ,AEP,1440.0,AMERICAN ELECTRIC POWER CO
American Express Co,AXP.N,AXP,1447.0,AMERICAN EXPRESS CO
Hearthstone Utilities Inc,EGAS.A^H17,GPBSNH,,
Tivity Health Inc,TVTY.OQ^F22,TVTYOT,24396.0,TIVITY HEALTH INC
Great Southern Bancorp Inc,GSBC.OQ,GSBC,19428.0,GREAT SOUTHERN BANCORP
Wyeth LLC,WYE.N^J09,PFEWY,,
Great-West Lifeco Inc,GWO.TO,GWO,16431.0,GREAT-WEST LIFECO INC
Phoenix Footwear Group Inc,PXFG.PK,PXFG,5327.0,PHOENIX FOOTWEAR GROUP INC
Skychain Technologies Inc,SCTh.V,,19715.0,CHANGING TECHNOLOGIES INC
InMed Pharmaceuticals Inc,INM.OQ,,64717.0,INMED PHARMACEUTICALS INC
Fuse Medical Inc,FZMD.PK,,33127.0,FUSE MEDICAL INC
Principal Solar Inc,PSWW.PK,PSWW,,
Greif Inc,GEF.N,GEF,,
CGI Inc,GIBa.TO,GIB,21864.0,CGI INC
Transat AT Inc,TRZ.TO,TRZ,28059.0,TRANSAT A T INC
American National Group LLC,ANAT.OQ^E22,BNREAN,156383.0,AMERICAN NATIONAL GROUP INC
Envela Corp,ELA.A,ELA,12096.0,ENVELA CORP
Schneider Electric IT Corp,APCC.OQ^B07,SCHNEI,,
Guardian Capital Group Ltd,GCGa.TO,GCG,183528.0,GAIN CAPITAL HOLDINGS INC
Icahn Enterprises LP,IEP.OQ,IEP,13709.0,ICAHN ENTERPRISES LP
American Realty Investors Inc,ARL.N,ARL,1545.0,AMERICAN REALTY INVESTORS
American Science and Engineering Inc,ASEI.O^I16,OSISA,1554.0,AMERICAN SCIENCE ENGINEERING
American Shared Hospital Services,AMS.A,AMS,1559.0,AMERICAN SHARED HSPTL SERV
Archon Minerals Ltd,ACS.V,,105413.0,ARCHON MINERALS LTD
Logility Supply Chain Solutions Inc,LGTY.OQ^D25,LGSCU,1562.0,LOGILITY SPPLY CHAIN SOL INC
Camden Property Trust,CPT.N,CPT,28629.0,CAMDEN PROPERTY TRUST
abrdn Healthcare Investors,HQH.N,,14716.0,ABRDN HEALTHCARE INVESTORS
Omega Healthcare Investors Inc,OHI.N,OHI,25633.0,OMEGA HEALTHCARE INVS INC
Limitless Venture Group Inc,LVGI.PK,,,
American Vanguard Corp,AVD.N,AVDXX,1585.0,AMERICAN VANGUARD CORP
American Woodmark Corp,AMWD.OQ,AMWD,12379.0,AMERICAN WOODMARK CORP
Haemonetics Corp,HAE.N,HAE,24021.0,HAEMONETICS CORP
Hallador Energy Co,HNRG.OQ,HNRGX,19129.0,HALLADOR ENERGY CO
Halliburton Co,HAL.N,HAL,5439.0,HALLIBURTON CO
Sterling Infrastructure Inc,STRL.OQ,STRLX,5559.0,STERLING INFRASTRUCTURE INC
Acura Pharmaceuticals Inc,ACUR.PK,ACUR,11929.0,ACURA PHARMACEUTICALS INC
Hammond Manufacturing Company Ltd,HMMa.TO,,,
Hancock Whitney Corp,HWC.OQ,HWC,24232.0,HANCOCK WHITNEY CORP
Hanger Inc,HNGR.N^J22,PATITH,16456.0,HANGER INC
Roper Technologies Inc,ROP.OQ,ROP,24925.0,ROPER TECHNOLOGIES INC
Harley-Davidson Inc,HOG.N,HOG,12389.0,HARLEY-DAVIDSON INC
Harleysville Financial Corp,HARL.PK,HARLX,16957.0,HARLEYSVILLE FINANCIAL CORP
Harman International Industries Inc,HAR.N^C17,SAMECR,25964.0,CHART INDUSTRIES INC
Equity Residential,EQR.N,EQR,28733.0,EQUITY RESIDENTIAL
Komatsu Mining Corp,JOY.N^D17,KOMSUO,,
Tekumo Inc,TKMO.PK,TKMO,,
L3Harris Technologies Inc,LHX.N,LHXX,5492.0,L3HARRIS TECHNOLOGIES INC
Enviri Corp,NVRI.N,NVRI,5496.0,ENVIRI CORP
